DVM,TSGTCmnConfig_LKP,The configuration parameters used across the integration will be defined in this lookup,
ConfigName,ConfigValue,Description
Integration_Admin_emailIDs,"cgraylin@tristategt.org,prakash.toligowda@tristategt.org",EmailId to be notified for all integrations
Send_Failure_Notify_from_MailService,Y,Send email if the common notification service fails to send emal
ERPBaseURL,https://fa-exbd-saasfaprod1.fa.ocs.oraclecloud.com/,ERP url for downloading log files from UCM
RetryCount,10,Retry Count
S001,Integration Team,Used in the Success or Failure notifications for each integrations
S002,Integration Admin Team,Used in the Failure notifications in Fault Handling
SUCCESS_EMAIL,"cgraylin@tristategt.org,prakash.toligowda@tristategt.org","N01: Default Success Emall id if, to email is not defined in the integrations"
ERROR_EMAIL,"cgraylin@tristategt.org,prakash.toligowda@tristategt.org","N01: Default Error Emall id if, to email is not defined in the integrations"
UCM_DOWNLOAD_URI,cs/idcplg?IdcService=GET_FILE&dID=,
FROM_EMAIL,no-reply-oic@tristategt.org,prevous value: no-reply@mail.integration.us-phoenix-1.ocp.oraclecloud.com
OIC_Environment,PROD,Appended with email subject in TSGTCmnNotificationFwk_Service
GetESSJobNameXDO,Custom/HCIntegration/Common/HC_CMN_GetEssJobnName_Layout.xdo,used in the OB call back service
TotColEnrichedinDataSync,210,Used in Outbound Data synch process to enrich the BIP output
OBExtractNoDataValue,No Records Found,No Records found message in case no data is extracted.
TSGT_CMN_MEDIATOR_WAIT_COUNT,6,No of Counts equivalent to 10 second per count waits for preparation of FBDI data in ATP
TSGT_CMN_JOB_STATUS_WAIT_COUNT,40,No of Counts equivalent to 10 second per count waits for preparation of FBDI data in DBCS
TSGTCmnNotificationServiceCode,TSGT_CNTY_CMN_NOTIFI_SERVIC,
TSGTCmnNotificationServiceVersion,01.00.0000,
TSGTCmnLoggerServiceCode,TSGT_CNTY_CMN_LOGGIN_SERVIC,
TSGTCmnLoggerServiceVersion,01.00.0000,
ESSLastRunJobReportPath,/Custom/TSGTIntegrations/Common/TSGT_CMN_GetEssLastRunDate_Layout.xdo,get the Lastrundate from the BIP report
Namespace,axeufspbztar,
Rawbucket,Rawbucket_PROD,Used in Inbound Integrations
Processedbucket,Processedbucket_PROD,Processed Bucket
Enrichedbucket,Enrichedbucket_PROD,Enriched Bucket
Errorbucket,Errorbucket_PROD,Error Bucket
Archivebucket,Archivebucket_PROD,Used in Outbound Integrations
Framework_BaseURI,https://oic-vbcs-prod-vb-axeufspbztar.builder.us-phoenix-1.ocp.oraclecloud.com,VBCS integration Framework Base URL
Framework_ResourceURI,/ic/builder/rt/TSGTIntegrationFramework/live/resources/data,VBCS integration Framework Relative URL
Framework_ResourceURI_hcm,/ic/builder/rt/TSGTIntegrationFramework/live/resources/data,VBCS integration Framework Relative URL
Mingen_CustomRunReportObject,RunCustomReport_c,App Composer Object in SaaS to update Summary Status
Cmn_Xref_SendGroupNotify,Y,Send Group Notification for Common Xref Integrations
Cmn_Xref_SendSuccessNotify,Y,Send Success Notification for Common Xref Integrations
Cmn_Xref_SendErrorNotify,Y,Send Error Notification for Common Xref Integrations
Cmn_Purge_SendNoFileFoundNotify,N,Send No file found Notification for Common Purge Integration
